Brand,Price,Body,Mileage,EngineV,Engine Type
Toyota,10.257659366256743,crossover,38,2.2,Diesel
Mitsubishi,8.881836305004146,sedan,178,1.6,Petrol
Mitsubishi,9.104979856318357,crossover,200,2.0,Gas
Audi,10.505067539570582,crossover,115,3.0,Diesel
Volkswagen,8.987196820661973,hatch,41,1.0,Petrol
Audi,10.668955394675699,other,11,1.8,Petrol
Toyota,9.525151111816216,sedan,48,1.4,Diesel
Toyota,8.97449144816442,sedan,165,1.8,Gas
Renault,9.546741177474825,van,180,2.0,Diesel
Volkswagen,9.259130536145614,van,176,1.6,Diesel
Volkswagen,9.94270826568941,other,160,2.0,Diesel
Mercedes-Benz,10.373491181781864,crossover,176,3.2,Gas
Mercedes-Benz,9.581903928408666,sedan,220,5.0,Petrol
Toyota,9.735068900911164,hatch,20,1.6,Petrol
Mercedes-Benz,9.517825071724143,van,172,2.2,Diesel
Audi,7.8632667240095735,vagon,273,2.5,Diesel
BMW,9.392661928770137,sedan,237,3.0,Diesel
Volkswagen,9.84161214881804,vagon,106,1.6,Diesel
Toyota,10.477287975463508,crossover,85,3.0,Diesel
Mercedes-Benz,10.305613759378778,other,71,5.5,Petrol
Renault,8.817297783866575,other,110,1.5,Diesel
BMW,10.460242108190519,crossover,117,3.0,Petrol
Volkswagen,8.948975607841776,van,177,1.9,Diesel
Renault,9.132378830506472,vagon,220,1.5,Diesel
Renault,9.035986984831405,hatch,84,1.5,Diesel
Toyota,9.371608519572305,sedan,93,1.6,Petrol
Mercedes-Benz,8.66561319653451,van,368,2.2,Diesel
Toyota,8.68270762989381,crossover,180,3.0,Diesel
BMW,10.714395546283317,crossover,87,3.0,Diesel
Volkswagen,9.259130536145614,van,170,1.6,Diesel
Mercedes-Benz,9.792555991828847,sedan,190,3.0,Diesel
Audi,9.21024036697585,sedan,190,3.0,Petrol
Audi,9.21024036697585,sedan,190,2.5,Diesel
Volkswagen,11.018629143155449,crossover,2,3.0,Diesel
Toyota,10.553205175168737,crossover,130,5.7,Gas
Toyota,9.78131991856192,sedan,30,1.6,Petrol
Volkswagen,10.92512880001811,van,50,2.0,Diesel
BMW,9.798127036878302,crossover,280,3.0,Diesel
Renault,8.935903526274423,other,125,1.5,Diesel
Renault,8.83927669058535,sedan,68,1.5,Diesel
Renault,9.657273665778108,vagon,0,1.5,Diesel
Renault,9.263881138904212,van,195,2.0,Diesel
Volkswagen,9.433483923290392,van,190,1.9,Diesel
Audi,9.472704636443673,sedan,157,3.0,Petrol
BMW,8.909235279192261,sedan,285,4.4,Gas
Renault,9.159047077588632,hatch,100,1.5,Diesel
Audi,9.84161214881804,crossover,197,4.2,Petrol
Toyota,8.987196820661973,sedan,176,3.0,Petrol
Volkswagen,9.071078304642676,vagon,250,1.9,Diesel
Mercedes-Benz,9.21024036697585,crossover,300,3.2,Petrol
Volkswagen,9.723163998404846,sedan,175,2.0,Petrol
Toyota,9.539644119118783,hatch,90,1.6,Petrol
Volkswagen,9.836278802842678,other,145,2.0,Diesel
Mitsubishi,8.732304571033183,sedan,152,1.6,Petrol
Renault,8.1886891244442,van,22,1.9,Diesel
Renault,8.922658299524402,vagon,98,1.4,Petrol
Renault,7.7406644019172415,van,200,1.9,Diesel
Volkswagen,9.735068900911164,crossover,133,2.5,Diesel
Mitsubishi,9.510370887608827,crossover,116,2.4,Petrol
Renault,8.648221453822641,van,180,1.5,Diesel
Mitsubishi,9.792555991828847,crossover,140,3.8,Gas
Volkswagen,9.539644119118783,other,170,1.9,Diesel
Audi,8.980927207648378,vagon,167,2.5,Diesel
BMW,9.179881164491475,sedan,250,2.0,Petrol
Volkswagen,8.922658299524402,sedan,240,1.8,Petrol
Audi,9.903437551286085,crossover,117,4.2,Petrol
BMW,9.116029692504942,sedan,230,2.0,Gas
Volkswagen,9.495519314209846,hatch,73,1.4,Petrol
Volkswagen,9.95227771670556,hatch,22,1.2,Other
Audi,8.794824928014517,sedan,360,1.8,Petrol
Audi,8.935903526274423,vagon,226,3.0,Diesel
Mercedes-Benz,8.160518247477505,hatch,258,1.7,Diesel
Volkswagen,8.160518247477505,sedan,3,1.8,Petrol
Mercedes-Benz,9.792555991828847,van,167,2.2,Diesel
Renault,7.575584651557793,vagon,286,1.9,Diesel
Volkswagen,8.98594603876032,sedan,90,1.4,Petrol
Volkswagen,8.779557455883728,sedan,320,1.9,Diesel
Mitsubishi,8.160518247477505,sedan,300,2.0,Diesel
Toyota,9.55393007636626,sedan,113,2.4,Gas
Toyota,8.00603417874901,other,300,1.6,Petrol
BMW,11.11095424611632,crossover,70,3.0,Diesel
Toyota,9.480367509189243,sedan,200,3.5,Gas
Volkswagen,8.83927669058535,sedan,300,1.8,Petrol
Volkswagen,10.085767441795337,sedan,80,2.0,Diesel
Mitsubishi,8.852235835227855,crossover,225,2.5,Petrol
Toyota,9.546741177474825,sedan,198,2.4,Gas
Renault,8.935903526274423,van,108,1.0,Diesel
Renault,9.314700387300425,vagon,180,1.5,Diesel
Mercedes-Benz,9.711115659888671,other,260,2.2,Diesel
Mercedes-Benz,10.691944912900398,other,82,5.5,Petrol
Audi,10.594131602877955,other,12,1.8,Petrol
Mercedes-Benz,9.9281801651265,sedan,173,1.8,Gas
BMW,8.987196820661973,crossover,214,4.4,Petrol
BMW,9.358760377094455,sedan,142,2.0,Petrol
Renault,9.350102314351341,vagon,170,1.5,Diesel
Volkswagen,9.525151111816216,other,103,2.0,Diesel
Mercedes-Benz,9.525151111816216,van,198,3.2,Gas
Renault,8.948975607841776,vagon,200,1.5,Diesel
Mercedes-Benz,8.66561319653451,sedan,231,2.2,Petrol
Volkswagen,9.159047077588632,sedan,95,2.0,Petrol
Mercedes-Benz,10.1226230824528,sedan,140,5.5,Petrol
Volkswagen,10.924138299734526,crossover,47,3.0,Diesel
Volkswagen,8.779557455883728,van,186,2.8,Petrol
Mercedes-Benz,9.02401079378469,sedan,175,3.2,Diesel
Mitsubishi,9.392661928770137,crossover,130,3.0,Gas
Mercedes-Benz,9.615805480084347,crossover,185,3.7,Gas
BMW,8.99961934066053,sedan,246,3.0,Diesel
Renault,8.987196820661973,sedan,175,2.0,Gas
Mercedes-Benz,8.612503371220562,van,285,2.3,Diesel
Renault,9.169518377455928,vagon,184,1.5,Diesel
BMW,9.287301413112312,sedan,180,2.0,Petrol
Mercedes-Benz,9.305559638557117,van,263,2.2,Diesel
BMW,10.691944912900398,crossover,80,3.0,Diesel
Toyota,9.862665558015873,hatch,54,1.4,Other
Mercedes-Benz,9.883284845218608,van,127,1.8,Diesel
Volkswagen,9.104979856318357,sedan,135,1.6,Gas
BMW,9.296518068217235,sedan,245,3.0,Diesel
Volkswagen,9.464982590349763,van,180,2.0,Diesel
BMW,8.794824928014517,sedan,285,2.5,Petrol
Renault,9.669052364970721,sedan,0,1.5,Diesel
Toyota,9.230142999272362,sedan,180,2.4,Petrol
Mercedes-Benz,8.699514748210191,sedan,366,3.2,Gas
Audi,8.160518247477505,sedan,1,2.0,Other
Volkswagen,8.961879012677683,van,380,2.5,Diesel
Toyota,10.48849257447637,crossover,84,3.0,Diesel
Renault,9.367344120785848,crossover,90,1.5,Diesel
Volkswagen,9.629050706834368,crossover,58,2.0,Petrol
Mercedes-Benz,7.824046010856292,sedan,111,2.3,Gas
Volkswagen,9.72913416539135,other,164,2.0,Diesel
BMW,10.82970881308719,sedan,128,3.0,Diesel
BMW,7.718685495198466,sedan,300,2.5,Petrol
Mercedes-Benz,9.137769679141348,sedan,270,2.7,Diesel
Toyota,9.350102314351341,van,161,2.5,Diesel
BMW,9.472704636443673,sedan,304,4.4,Other
Mercedes-Benz,8.922658299524402,sedan,319,3.2,Gas
Mercedes-Benz,9.798071479779479,other,38,2.0,Petrol
Renault,8.895629627136483,vagon,162,1.5,Diesel
Toyota,10.305613759378778,crossover,117,3.0,Diesel
Renault,8.507142855562735,vagon,170,1.5,Diesel
Audi,10.491274217438248,vagon,40,3.0,Diesel
Audi,7.438383530044307,sedan,177,1.6,Petrol
Audi,9.429475901892854,vagon,1,2.0,Diesel
Volkswagen,9.539194377712507,sedan,0,1.6,Petrol
Volkswagen,10.705489138008156,crossover,60,3.0,Diesel
Toyota,10.467046698064145,crossover,0,2.0,Petrol
BMW,8.160518247477505,sedan,313,2.5,Diesel
Mercedes-Benz,9.457200449907708,other,260,2.7,Diesel
Volkswagen,10.203592144986466,sedan,85,2.0,Diesel
Volkswagen,9.602382459752207,sedan,143,2.0,Diesel
Renault,7.696212639346407,other,155,1.6,Petrol
Volkswagen,7.9724660159745655,van,433,2.4,Diesel
Audi,9.392661928770137,sedan,200,6.0,Petrol
Volkswagen,10.621327345686446,crossover,180,3.0,Diesel
Audi,9.698920386794853,vagon,180,3.2,Petrol
Renault,8.575462099540212,van,145,1.5,Other
Mercedes-Benz,10.60905725309463,sedan,39,2.2,Diesel
Mercedes-Benz,8.366370301681654,van,300,2.2,Diesel
Volkswagen,8.294049640102028,crossover,137,2.5,Diesel
Volkswagen,9.169518377455928,hatch,132,1.6,Petrol
Mitsubishi,9.798127036878302,crossover,112,3.0,Gas
Renault,9.332558004700433,vagon,184,1.5,Diesel
Volkswagen,8.51699317141357,hatch,131,1.4,Petrol
Mercedes-Benz,10.126591103050316,sedan,112,2.2,Diesel
Toyota,10.056208639553791,crossover,93,2.7,Other
Toyota,9.60911649193355,crossover,124,4.0,Petrol
Audi,10.034515814942532,sedan,184,2.7,Diesel
Mercedes-Benz,10.477287975463508,sedan,137,3.0,Diesel
Volkswagen,9.615805480084347,other,280,2.8,Diesel
Toyota,9.065314599925925,sedan,132,1.6,Petrol
Mitsubishi,10.01681623784313,crossover,96,2.5,Diesel
Mitsubishi,9.249561085129464,sedan,123,2.0,Petrol
Audi,9.259130536145614,vagon,198,4.2,Gas
Renault,9.38429367909962,crossover,68,1.5,Diesel
BMW,10.515966830028619,sedan,17,2.0,Petrol
BMW,10.106428396532818,crossover,170,3.0,Diesel
Volkswagen,8.45531778769815,van,400,2.4,Diesel
Toyota,9.803667217253917,hatch,30,1.6,Petrol
Mercedes-Benz,11.652687407345388,sedan,47,4.6,Petrol
Mercedes-Benz,9.296518068217235,sedan,217,3.2,Diesel
BMW,8.85366542803745,sedan,280,3.0,Petrol
Volkswagen,9.21024036697585,vagon,161,2.0,Diesel
Mitsubishi,9.417354541360508,other,160,2.5,Diesel
Volkswagen,11.121696786287314,crossover,0,3.0,Diesel
Volkswagen,9.846917201047734,other,45,2.0,Diesel
Volkswagen,8.85352256068954,sedan,248,1.8,Petrol
Mercedes-Benz,9.235032984566555,sedan,261,1.8,Petrol
Toyota,8.160518247477505,sedan,286,1.6,Petrol
BMW,9.51044496442652,crossover,250,3.0,Diesel
BMW,7.803843303538772,sedan,328,2.5,Diesel
Volkswagen,8.922658299524402,van,180,2.5,Diesel
Volkswagen,8.496990484098719,vagon,263,2.0,Diesel
Mercedes-Benz,8.517193191416238,vagon,248,2.0,Gas
BMW,10.305613759378778,crossover,235,3.0,Diesel
Renault,8.85366542803745,sedan,110,1.4,Petrol
Mitsubishi,9.375854810453756,sedan,1,1.5,Gas
Mercedes-Benz,9.711115659888671,van,223,2.2,Diesel
BMW,8.575462099540212,sedan,147,2.2,Gas
Mercedes-Benz,8.881836305004146,van,200,2.2,Diesel
Volkswagen,9.047821442478408,van,230,1.9,Diesel
BMW,10.571316925111784,crossover,180,3.0,Diesel
Volkswagen,7.52294091807237,vagon,270,1.9,Diesel
Audi,10.494048144320972,sedan,75,3.0,Diesel
Mitsubishi,8.054919608232412,hatch,330,2.0,Gas
Renault,8.66561319653451,van,159,1.5,Diesel
BMW,8.809862805379057,sedan,370,2.0,Petrol
Renault,9.851569326077096,crossover,0,1.5,Diesel
Volkswagen,10.263257701382162,van,0,1.6,Diesel
BMW,8.00603417874901,sedan,210,2.0,Other
BMW,11.074420502783864,crossover,1,2.0,Diesel
Toyota,9.975808214115753,crossover,135,2.0,Gas
BMW,11.35691472296607,sedan,10,3.0,Diesel
Volkswagen,9.065314599925925,van,108,1.6,Diesel
BMW,9.268609280100158,sedan,1,3.0,Diesel
Toyota,8.83927669058535,hatch,109,1.3,Gas
Mercedes-Benz,7.9724660159745655,other,248,2.0,Petrol
Mercedes-Benz,9.413281215972873,other,185,2.2,Diesel
BMW,9.98506753952855,crossover,101,2.5,Gas
Mercedes-Benz,7.600902459542082,sedan,320,2.2,Diesel
Audi,9.20029003612268,vagon,284,2.5,Diesel
Mercedes-Benz,8.674196940225903,van,240,2.2,Diesel
Toyota,9.011889433252344,vagon,204,1.4,Diesel
Renault,8.895629627136483,vagon,200,1.5,Diesel
Mitsubishi,8.987196820661973,sedan,145,2.0,Gas
Renault,8.794824928014517,van,184,1.5,Diesel
Mercedes-Benz,10.021270588192511,sedan,164,1.8,Gas
Mercedes-Benz,9.487972108574462,other,196,2.2,Other
Volkswagen,7.090076835776092,other,300,1.4,Gas
Volkswagen,9.093806555720231,van,264,2.5,Diesel
Mitsubishi,9.126958763037132,sedan,163,2.0,Petrol
Mercedes-Benz,9.230142999272362,sedan,154,2.5,Petrol
Mercedes-Benz,9.159047077588632,sedan,246,6.0,Petrol
Mitsubishi,10.19802109993701,crossover,84,3.2,Diesel
Audi,9.994241915804592,crossover,183,4.2,Petrol
Volkswagen,7.438383530044307,hatch,250,1.4,Petrol
Volkswagen,8.779557455883728,hatch,225,1.4,Petrol
Renault,8.517193191416238,vagon,34,1.5,Diesel
BMW,10.545341438708522,sedan,74,2.0,Diesel
Volkswagen,9.169414205363537,sedan,140,1.8,Petrol
Mercedes-Benz,9.287301413112312,other,230,1.8,Petrol
Toyota,9.84161214881804,crossover,105,2.0,Gas
Mitsubishi,8.942460926820582,sedan,133,1.5,Gas
Renault,8.748304912379623,vagon,125,2.0,Petrol
BMW,8.517193191416238,other,75,1.9,Petrol
Toyota,10.257659366256743,crossover,107,3.5,Gas
BMW,9.472704636443673,sedan,193,3.6,Petrol
Toyota,9.74090979777877,crossover,157,2.7,Gas
BMW,10.448714603019452,other,160,3.0,Diesel
Volkswagen,9.296518068217235,vagon,204,2.0,Diesel
Mitsubishi,9.85214162518454,crossover,121,3.8,Gas
BMW,9.190137664658664,sedan,350,3.0,Diesel
Volkswagen,8.366370301681654,vagon,298,1.8,Petrol
Audi,8.268731832117737,vagon,260,2.5,Diesel
Volkswagen,9.510370887608827,van,154,2.0,Diesel
Audi,9.902987427494446,sedan,127,2.8,Petrol
Renault,8.131530710604252,van,260,2.2,Diesel
Toyota,10.232791299678729,sedan,157,3.5,Petrol
Volkswagen,7.7406644019172415,hatch,320,1.6,Gas
Renault,8.942460926820582,van,151,1.5,Diesel
Volkswagen,9.210340371976184,van,220,1.9,Diesel
Volkswagen,9.179881164491475,vagon,130,1.6,Gas
Audi,8.242756345714477,sedan,270,2.5,Diesel
Toyota,10.19988156558993,crossover,115,4.0,Gas
Toyota,9.441452092939569,sedan,205,2.4,Gas
Volkswagen,9.60904937558734,van,158,2.0,Diesel
Renault,8.51699317141357,vagon,252,1.5,Diesel
BMW,10.964346051592322,other,40,4.0,Diesel
Volkswagen,9.421411342056123,van,167,1.4,Petrol
Audi,8.987071812848821,sedan,177,2.7,Gas
BMW,9.980448593672257,crossover,200,4.8,Other
Mitsubishi,8.987196820661973,sedan,67,1.5,Petrol
